OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry|ProductName|CompanyName|CategoryName|UnitPrice|Quantity|Discount|TotalSales|FinalSales
10248|VINET|5|1996-07-04|1996-08-01|1996-07-16|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|France|Mozzarella di Giovanni||Dairy Products|34.8|5|0.0|174.0|174.0
10248|VINET|5|1996-07-04|1996-08-01|1996-07-16|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|France|Queso Cabrales|Heli Süßwaren GmbH & Co. KG|Dairy Products|14.0|12|0.0|168.0|168.0
10248|VINET|5|1996-07-04|1996-08-01|1996-07-16|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|France|Singaporean Hokkien Fried Mee||Grains/Cereals|9.8|10|0.0|98.0|98.0
10249|TOMSP|6|1996-07-05|1996-08-16|1996-07-10|1|11.61|Toms Spezialitäten|Luisenstr. 48|Münster||44087|Germany|Manjimup Dried Apples||Produce|42.4|40|0.0|1696.0|1696.0
10249|TOMSP|6|1996-07-05|1996-08-16|1996-07-10|1|11.61|Toms Spezialitäten|Luisenstr. 48|Münster||44087|Germany|Tofu|Formaggi Fortini s.r.l.|Produce|18.6|9|0.0|167.4|167.4
10250|HANAR|4|1996-07-08|1996-08-05|1996-07-12|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil|Jack's New England Clam Chowder||Seafood|7.7|10|0.0|77.0|77.0
10250|HANAR|4|1996-07-08|1996-08-05|1996-07-12|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil|Louisiana Fiery Hot Pepper Sauce||Condiments|16.8|15|0.15000000596046448|252.0|214.2
10250|HANAR|4|1996-07-08|1996-08-05|1996-07-12|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil|Manjimup Dried Apples||Produce|42.4|35|0.15000000596046448|1484.0|1261.4
10251|VICTE|3|1996-07-08|1996-08-05|1996-07-15|1|41.34|Victuailles en stock|2, rue du Commerce|Lyon||69004|France|Gustaf's Knäckebröd|Zaanse Snoepfabriek|Grains/Cereals|16.8|6|0.05000000074505806|100.8|95.76
10251|VICTE|3|1996-07-08|1996-08-05|1996-07-15|1|41.34|Victuailles en stock|2, rue du Commerce|Lyon||69004|France|Louisiana Fiery Hot Pepper Sauce||Condiments|16.8|20|0.0|336.0|336.0
