code_unit;EGI_x;date;SLOC;amount;Hm;Consumption;ritase;EGI_y;HM;Production OB
EX41;EGI 37;2022-01-02;CN403;2362.0;45441.0;0.0;;Excavator;20.0;10350.0
EX41;EGI 37;2022-01-03;CN403;1961.0;45480.0;0.0;;Excavator;22.0;11565.0
EX41;EGI 37;2022-01-04;CN403;1950.0;45523.0;0.0;;Excavator;14.0;6750.0
EX41;EGI 37;2022-01-05;CN403;1744.0;45566.0;0.0;;Excavator;21.0;11475.0
EX41;EGI 37;2022-01-06;CN403;1060.0;22797.0;0.0;;Excavator;13.0;6255.0
EX41;EGI 37;2022-01-07;CN403;1336.0;45627.0;0.0;;Excavator;22.0;12195.0
EX41;EGI 37;2022-01-07;CN469;918.0;22813.0;0.0;;Excavator;22.0;12195.0
EX41;EGI 37;2022-01-08;CN403;1808.0;45657.0;0.0;;Excavator;22.0;11115.0
EX41;EGI 37;2022-01-09;CN403;1090.0;22846.0;0.0;;Excavator;15.0;6390.0
EX41;EGI 37;2022-01-10;CN403;915.0;22854.0;0.0;;Excavator;21.0;10800.0
EX41;EGI 37;2022-01-11;CN469;1645.0;45735.0;0.0;;Excavator;21.0;11520.0
EX41;EGI 37;2022-01-12;CN469;2166.0;45772.0;0.0;;Excavator;19.0;9765.0
EX41;EGI 37;2022-01-15;CN469;1295.0;22909.0;0.0;;Excavator;22.0;10935.0
EX41;EGI 37;2022-01-16;CN469;1480.0;22923.0;0.0;;Excavator;22.0;11300.0
EX41;EGI 37;2022-01-17;CN469;1015.0;22935.0;0.0;;Excavator;8.0;3690.0
EX41;EGI 37;2022-01-18;CN403;359.0;22940.0;0.0;;Excavator;21.0;12232.0
EX41;EGI 37;2022-01-18;CN469;772.0;22942.0;0.0;;Excavator;21.0;12232.0
EX41;EGI 37;2022-01-19;CN469;814.0;45898.0;0.0;;Excavator;23.0;9812.0
EX41;EGI 37;2022-01-20;CN469;2156.0;45946.0;0.0;;Excavator;22.0;11704.0
EX41;EGI 37;2022-01-21;CN469;1567.0;45979.0;0.0;;Excavator;14.0;6530.0
EX41;EGI 37;2022-01-22;CN469;2210.0;46020.0;0.0;;Excavator;15.0;5388.0
EX41;EGI 37;2022-01-23;CN469;1771.0;46059.0;111.5;;Excavator;14.0;6072.0
EX41;EGI 37;2022-01-24;CN469;1834.0;46096.0;0.0;;Excavator;22.0;10506.0
EX41;EGI 37;2022-01-25;CN405;468.0;23057.0;0.0;;Excavator;22.0;10868.0
EX41;EGI 37;2022-01-25;CN469;715.0;23064.0;0.0;;Excavator;22.0;10868.0
EX41;EGI 37;2022-01-26;CN469;706.0;46135.0;0.0;;Excavator;20.0;10281.0
EX41;EGI 37;2022-01-27;CN469;2362.0;46174.0;0.0;;Excavator;15.0;7436.0
EX41;EGI 37;2022-01-28;CN469;1466.0;46207.0;0.0;;Excavator;18.0;10208.0
