CODE_UNIT,DATE,AMOUNT,HM_CALC,CONSUMPTION,HM_HRS,PRODUCTION_OB,CONSUMPTION_CALC,CONSUMPTION_HRS
EX41,2022-01-01,0.0,0.0,,,,,
EX41,2022-01-02,2362.0,11.0,71.63636363636364,20.0,10350.0,214.72727272727272,118.1
EX41,2022-01-03,1961.0,20.0,106.0625,22.0,11565.0,98.05,89.13636363636364
EX41,2022-01-04,1950.0,23.0,109.05,14.0,6750.0,84.78260869565217,139.28571428571428
EX41,2022-01-05,1744.0,17.0,118.10606060606062,21.0,11475.0,102.58823529411765,83.04761904761905
EX41,2022-01-06,1060.0,23.0,72.31060606060606,13.0,6255.0,46.08695652173913,81.53846153846153
EX41,2022-01-07,2254.0,9.0,114.25,22.0,12195.0,250.44444444444446,102.45454545454545
EX41,2022-01-08,1808.0,16.0,179.34545454545457,22.0,11115.0,113.0,82.18181818181819
EX41,2022-01-09,1090.0,20.0,95.3125,15.0,6390.0,54.5,72.66666666666667
EX41,2022-01-10,915.0,10.0,107.5,21.0,10800.0,91.5,43.57142857142857
EX41,2022-01-11,1645.0,7.0,150.8571428571429,21.0,11520.0,235.0,78.33333333333333
EX41,2022-01-12,2166.0,20.0,120.25,19.0,9765.0,108.3,114.0
EX41,2022-01-13,0.0,18.0,71.94444444444444,17.0,8955.0,0.0,0.0
EX41,2022-01-14,0.0,0.0,,16.0,8365.0,,0.0
EX41,2022-01-15,1295.0,0.0,,22.0,10935.0,inf,58.86363636363637
EX41,2022-01-16,1480.0,14.0,105.7142857142857,22.0,11300.0,105.71428571428571,67.27272727272727
EX41,2022-01-17,1015.0,17.0,50.858333333333334,8.0,3690.0,59.705882352941174,126.875
EX41,2022-01-18,1131.0,2.0,82.0,21.0,12232.0,565.5,53.857142857142854
EX41,2022-01-19,814.0,14.0,84.5,23.0,9812.0,58.142857142857146,35.391304347826086
EX41,2022-01-20,2156.0,22.0,76.29166666666666,22.0,11704.0,98.0,98.0
EX41,2022-01-21,1567.0,16.0,125.3015873015873,14.0,6530.0,97.9375,111.92857142857143
EX41,2022-01-22,2210.0,21.0,99.72727272727272,15.0,5388.0,105.23809523809524,147.33333333333334
EX41,2022-01-23,1771.0,19.0,98.49444444444444,14.0,6072.0,93.21052631578948,126.5
EX41,2022-01-24,1834.0,18.0,65.2,22.0,10506.0,101.88888888888889,83.36363636363636
EX41,2022-01-25,1183.0,12.0,82.07142857142857,22.0,10868.0,98.58333333333333,53.77272727272727
EX41,2022-01-26,706.0,6.0,400.7,20.0,10281.0,117.66666666666667,35.3
EX41,2022-01-27,2362.0,22.0,109.25833333333333,15.0,7436.0,107.36363636363636,157.46666666666667
